costcode,programme,portfolio,description,expenditure,generalrates,targetedrates,grants,otherrevenue,revenue,geographicarea
P078100,Zone and Regional Delivery,Water,Zone Delivery Management,2616200,2667000,0,0,-50800,2616200,Region-wide
P078500,Zone and Regional Delivery,Water,Water Use Efficiency,111200,111200,0,0,0,111200,Region-wide
P079000,Regional Water Infrastructure Support,Water,CWMS Regional Water Infrastructure Support,527000,527200,0,0,-200,527000,Region-wide
P079500,CWMS Facilitation,Water,CWMS Facilitation - Regional and Zone Committees,2210700,2261400,0,0,-50700,2210700,Region-wide
P079710,Regional Biodiversity,Bio,Te Waihora CWMS Regional Cttee Immediate Steps Flagship,112900,113000,0,0,-100,112900,Region-wide
P079711,Te Waihora Restoration,Water,Whakaora Te Waihora Restoration - Programme Mgmt,179900,180000,0,0,-100,179900,Region-wide
P079712,Te Waihora Restoration,Water,Whakaora Te Waihora Restoration - Kaituna,45000,45000,0,0,0,45000,Region-wide
P079713,Te Waihora Restoration,Water,Whakaora Te Waihora Restoration Halswell-Huritini,121800,121800,0,0,0,121800,Region-wide
P079714,Te Waihora Restoration,Water,Whakaora Te Waihora Restoration - Waikekewai,70000,70000,0,0,0,70000,Region-wide
P079720,Braided Rivers,Bio,Braided River CWMS Regional Cttee Immediate Step Flagship,112900,113000,0,0,-100,112900,Region-wide
P079730,Zone and Regional Delivery,Water,Wainono Lagoon CWMS Regional Cttee Immediate Steps,26100,26100,0,0,0,26100,Region-wide
P079900,Te Waihora Restoration,Water,Ahuriri Lagoon Restoration,1929900,266300,0,890400,773200,1929900,Region-wide
P080000,Climate Change Integration,Hazards,Climate Change Integration Programme,550000,549500,0,0,500,550000,Region-wide
PEEUP,Flood Protection and Control Works,Hazards,Engineering Works - User-Pays,113500,0,0,0,113500,113500,Region-wide
PSED,Flood Protection and Control Works,Hazards,Seadown Drain,32400,2200,41200,0,-11000,32400,Seadown Drain
PSEF,Flood Protection and Control Works,Hazards,Sefton Ashley,25200,900,16400,0,7900,25200,Sefton Ashley
P046402,Public Transport,Transport,PT Bus Contract Payments - Selwyn - Rural,242400,0,72100,86400,83800,242400,Selwyn - Rural
P046401,Public Transport,Transport,PT Bus Contract Payments - Selwyn - Urban,3219800,0,958200,1148300,1113400,3219800,Selwyn - Urban
PSEL,Flood Protection and Control Works,Hazards,Selwyn River,233900,34300,194400,0,5200,233900,Selwyn River
P079645,Regional Biodiversity,Bio,CWMS Ecosystem Protection - Selwyn Waihora Zone,104600,104600,0,0,0,104600,Selwyn/Waihora zone
P070702,Flood Protection and Control Works,Hazards,Tekapo Forest Regional Park,86900,60400,20100,0,6400,86900,Tekapo Forest
P046406,Public Transport,Transport,PT BusContract Payments - Temuka,43200,0,21400,21800,0,43200,Temuka
P039606,Cleaner Home Heating,Air,Air Implementation (Subsidies) - Timaru,206000,0,41000,0,165000,206000,Timaru Air
P046404,Public Transport,Transport,PT Bus Contract Payments - Timaru City,952200,0,362500,410700,179000,952200,Timaru City
P046502,Public Transport,Transport,Total Mobility - Timaru,206600,0,65100,141300,200,206600,Timaru Transport
P046524,Public Transport,Transport,Vehicle Trusts - Twizel,11000,0,4500,6500,100,11000,Twizel
PUHI,Flood Protection and Control Works,Hazards,Upper Hinds,92100,13700,77500,0,900,92100,Upper Hinds
PUWA,Flood Protection and Control Works,Hazards,Upper Waitaki Rivers,269800,134600,0,131400,3800,269800,Upper Waitaki Rivers
P079660,Regional Biodiversity,Bio,CWMS Ecosystem Protection - Upper Waitaki Zone,104600,104600,0,0,0,104600,Upper Waitaki zone
PWBN,Flood Protection and Control Works,Hazards,Waiau Bourne,19500,1000,18400,0,100,19500,Waiau Bourne
PWRM,Flood Protection and Control Works,Hazards,Waiau Rotheram,36300,1800,34900,0,-400,36300,Waiau Rotheram
PWSP,Flood Protection and Control Works,Hazards,Waiau Spotswood,11200,500,10400,0,300,11200,Waiau Spotswood
PWTN,Flood Protection and Control Works,Hazards,Waiau Town Area,59700,2900,54500,0,2300,59700,Waiau Town Area
PWWC,Flood Protection and Control Works,Hazards,Waihao Wainono Combined,99600,14800,132900,0,-48100,99600,Waihao Wainono Combined
P046410,Public Transport,Transport,PT Bus Contract Payments - Waimakariri - Rural,335900,0,99900,119800,116100,335900,Waimakariri - Rural
P046403,Public Transport,Transport,PT Bus Contract Payments - Waimakariri - Urban,2462900,0,733000,878300,851700,2462900,Waimakariri - Urban
PWEC,Flood Protection and Control Works,Hazards,Waimakariri Eyre Cust,3762700,91000,515800,0,3155900,3762700,Waimakariri Eyre Cust
P070701,Flood Protection and Control Works,Hazards,Waimakariri River Regional Park,1656700,169600,961200,0,525900,1656700,Waimakariri Hazards
PWFP,Flood Protection and Control Works,Hazards,Waimakariri River Flood Protection,764300,170600,966500,0,-372800,764300,Waimakariri River Flood Protection
P046521,Public Transport,Transport,Vehicle Trusts - Waimakariri,52000,0,21100,30900,0,52000,Waimakariri - Urban
P046534,Public Transport,Transport,Vehicle Trusts - Tuahiwi,10400,0,4200,6200,0,10400,Waimakariri - Rural
P079630,Regional Biodiversity,Bio,CWMS Ecosystem Protection - Waimakariri Zone,104600,104600,0,0,0,104600,Waimakariri zone
P039610,Cleaner Home Heating,Air,Air Implementation (Subsidies) - Waimate,27500,0,14400,0,13100,27500,Waimate Air
P041001,Biosecurity,Bio,Animal Pest Inspections - Wallaby,227700,113700,113700,0,300,227700,Waimate Air
P046503,Public Transport,Transport,Total Mobility - Waimate,12400,0,5000,7400,0,12400,Waimate Transport
P046532,Public Transport,Transport,Vehicle Trusts - Waitaki,10400,0,4200,6100,100,10400,Waitaki
PWDC,Flood Protection and Control Works,Hazards,Washdyke Creek,28400,4700,88900,0,-65200,28400,Washdyke Creek
